Gene symbol,GSM1686438,GSM1686442,GSM1686436,GSM1686440,GSM1686444,GSM1686437,GSM1686441,GSM1686445,GSM1686435,GSM1686439,GSM1686443,Variance
EVPLL,13.2754,13.3061,13.632,13.4108,7.77172,13.5807,13.9467,8.109,13.8341,13.2789,8.46167,6.477859106
H3F3AP4,12.899,13.0821,13.3322,12.6082,7.73218,12.4989,12.9298,7.573,12.9504,12.5187,7.44919,6.117769486
LINC00608,12.6427,12.976,12.6309,12.6156,7.50483,12.6969,12.6532,7.43183,12.2396,11.7447,6.97236,6.063496725
LSP1P3,13.3342,13.0342,13.1695,13.397,7.84621,13.3393,13.3911,8.11474,13.1987,13.1052,8.16028,5.931740113
CC2D1B,12.7116,12.6974,12.7301,12.4928,7.33087,12.7681,13.5238,7.78854,12.7675,12.9689,7.94664,5.859712798
ZCCHC18,12.8584,13.0079,12.9581,12.6641,7.64296,13.0067,13.5644,8.06543,13.1165,13.0477,8.00069,5.787208675
RPLP1,13.8825,13.6484,13.9738,13.8395,8.6949,13.9379,13.9584,8.74119,13.8283,13.95,8.96841,5.633687511
UBA5,12.3629,12.5066,12.7332,12.2914,7.28154,12.3348,12.7673,7.47102,12.6807,12.4728,7.61133,5.62534292
AMY1A,13.5932,13.7159,13.2914,13.4012,8.28455,13.7974,14.0945,8.95179,13.4562,13.4983,8.60016,5.509654889
PLXNA4,13.0267,13.0079,13.0505,12.9158,8.01009,13.3288,13.5186,8.214,13.1077,13.1062,8.14479,5.505062937
ECRP,12.5407,12.3455,12.006,12.3265,7.41304,12.7279,12.2701,7.47244,11.976,12.6043,7.31459,5.397311958
CLDN24,11.881,11.8391,11.8732,12.088,7.05822,12.057,12.4643,7.07747,11.8084,11.7665,6.98716,5.342776346
RPL23AP64,14.0579,13.9314,14.0078,13.9607,9.10772,13.7769,14.0083,8.80809,13.7172,13.6202,9.01454,5.278740949
PTMA,12.6225,12.6846,12.9881,12.2474,7.61096,12.9311,13.0212,7.94277,12.861,12.4413,8.00494,5.241175388
RAMP2-AS1,14.3637,14.1672,13.9313,14.4391,9.31636,14.5072,14.6278,9.41533,14.1917,14.1838,9.71965,5.108133403
HSPA1A,12.9262,12.7582,12.6547,12.4214,7.74965,12.6729,12.6082,7.72617,12.2035,12.1817,7.80641,5.060424
CAPZA1,11.6826,12.0704,11.9303,11.387,7.18341,11.8206,12.2188,6.97379,11.9555,11.6829,7.02251,5.042344105
UQCRH,12.4449,12.6031,12.6948,12.2967,7.38904,12.518,12.7715,7.92405,12.651,12.3407,8.06151,4.965205929
