Gene symbol,GSM1686435,GSM1686436,GSM1686437,GSM1686438,GSM1686439,GSM1686440,GSM1686441,GSM1686442,GSM1686443,GSM1686444,GSM1686445,Variance
EVPLL,0.7330516407392415,0.6497704536115056,0.6286307955231691,0.5028230447557379,0.5042653216233636,0.558618555577586,0.7794517479662731,0.5154738732803377,-1.4808145055282613,-1.765128484047714,-1.6261424435012382,6.477859106
H3F3AP4,0.6507262502313348,0.81262209867637,0.4592752927328192,0.6289309474286241,0.4676711486762757,0.5056221136732126,0.6419911677851124,0.7065714132491745,-1.6819690363697963,-1.561971901347637,-1.6294694947354855,6.117769486
LINC00608,0.48505218780791837,0.6517172684563773,0.6798284244052607,0.6567432023987532,0.27426111085181826,0.6452005913954997,0.6612154317542576,0.7987045399406172,-1.7584054646193397,-1.5316123251026397,-1.5627049672885267,6.063496725
LSP1P3,0.5909537396805531,0.5783793146331441,0.651500457545814,0.649304239472465,0.5506897416691593,0.6763478659442892,0.6738071430751208,0.5201149410401867,-1.5787460770099866,-1.7139943535387392,-1.5983570125120068,5.931740113
CC2D1B,0.5796457410248647,0.5634414595090146,0.5799057027604132,0.5554259726629392,0.6669062302572767,0.4606265930996236,0.9073275086836197,0.5492735449216268,-1.5090861463682157,-1.7758805428659439,-1.5775860636852184,5.859712798
ZCCHC18,0.6479629673730283,0.5789044979517091,0.6000928919787049,0.5354377719333661,0.6179678745940717,0.4507277933439575,0.8432362530662653,0.6006160622015931,-1.5824032475908505,-1.7383646507858534,-1.5541782140660012,5.787208675
RPLP1,0.59002436252915,0.6543172541568668,0.6384539221332585,0.6139740170049042,0.6438006162136384,0.5949733686200802,0.6475123707818364,0.5105309521935745,-1.5574421741899174,-1.6782995541837098,-1.6578451352596757,5.633687511
UBA5,0.6823640978434498,0.7055797637313576,0.529406024879121,0.5418319336686488,0.5904300609273353,0.5102144077451173,0.7206588914795035,0.6053765277275507,-1.5593273341981193,-1.7051615142585586,-1.6213728595454013,5.62534292
AMY1A,0.5416127526228498,0.46797655550018913,0.6940682772481626,0.6028273096969052,0.5604239413295486,0.5170375654763303,0.8268189699978126,0.6576523181128664,-1.6281707344859015,-1.7691920947643167,-1.4710548607344394,5.509654889
PLXNA4,0.59954406286266,0.5739752109908357,0.6983775095210583,0.5633364229742376,0.5988735510128744,0.5137632468800889,0.7832196089139302,0.5549326744569244,-1.6189159134169913,-1.6791278775277387,-1.5879784966678834,5.505062937
ECRP,0.4407333440634287,0.45427677935362315,0.7801769772200099,0.6956659410091942,0.7243780238244076,0.5989658130372035,0.5735041546916374,0.607543322054327,-1.6636501458054656,-1.6192051056614765,-1.5923891037868907,5.397311958
CLDN24,0.5359173822269437,0.5653201254469411,0.6487186471110691,0.5688593445382368,0.5169054232621615,0.6627847742687833,0.833529408121947,0.5498473855734546,-1.6517011628653377,-1.6194579694515567,-1.6107233582326534,5.342776346
RPL23AP64,0.5344438436457098,0.6670998069485816,0.5616962903393828,0.6899699506563378,0.4901643238921705,0.6455991329239247,0.667328051895765,0.6322239790189899,-1.6122729229953232,-1.569737194638263,-1.7065152616872639,5.278740949
PTMA,0.6711554547972741,0.7293828747034158,0.7032698697101032,0.5618931444305163,0.4788812759254574,0.390051246658731,0.7445467425153226,0.5903425761863887,-1.5535168088488385,-1.7340080668710403,-1.5819983092073342,5.241175388
RAMP2-AS1,0.5587825899886383,0.4379438447212838,0.7051905167622561,0.6385992727305154,0.5551165911882842,0.6735886790022455,0.7611550047777825,0.5474133532027307,-1.516474363824233,-1.7036212823298833,-1.657694206219629,5.108133403
HSPA1A,0.4462895476739513,0.6566538189065352,0.6651392571521758,0.7832360432851841,0.43612567109400785,0.5478816901863185,0.6349739904217941,0.7049089210177331,-1.6037783454866918,-1.630241723224195,-1.6411888710268128,5.060424
CAPZA1,0.6616523333428904,0.6498822200439255,0.5986448617543833,0.5341894794029083,0.5343295997993243,0.39612418213409645,0.7846313345975522,0.7153184451703136,-1.6423893810484345,-1.5672381417705188,-1.6651449334264332,5.042344105
UQCRH,0.6617662377209147,0.6823821150063879,0.5991655144568082,0.5647586507680397,0.5157135728423256,0.49500355913089145,0.7184834343624551,0.63922056370324,-1.4984246901992802,-1.8149443020294607,-1.5631246557623188,4.965205929
TMEM251,0.6378566932139851,0.6421947492034082,0.681755933715648,0.6970805880261108,0.2646895725586021,0.5575555046271624,0.7546069826684619,0.6219190527311045,-1.4862818525635868,-1.7049575966565116,-1.6664196275243857,4.947411496
LOC283332,0.5927090404611107,0.6114821307538247,0.6494549724822688,0.7394804736586924,0.5051486925554477,0.38525691136788787,0.678467930207372,0.7139282118713879,-1.5924691882520607,-1.5867661509737436,-1.6966930241321911,4.894535909
DCAF13P3,0.508419362623465,0.620688744877431,0.5925265772005494,0.4675510317523003,0.6461010712659973,0.6744054721129638,0.8072512529725975,0.5639377100134121,-1.5966268135327213,-1.6087118918842986,-1.675542517401693,4.893655751
PCBP4,0.6606396226568502,0.5141252735790183,0.7879506347196273,0.6401560631741247,0.7286336603842332,0.1902764049053634,0.7374529707170733,0.5792743724893551,-1.507891282812443,-1.695420166502678,-1.6351975533105243,4.892708298
GALT,0.5949481916818173,0.5625574163692773,0.8166894464645832,0.7395889372404596,0.40945035949546243,0.5371584824237602,0.6586833442791804,0.554138668600819,-1.5882804351221627,-1.6572713596314719,-1.6276630518017274,4.862327665
CRK,0.7496674199206786,0.5588455833292575,0.6873300642685278,0.5356536106763944,0.5430826614645801,0.519700200329969,0.7867174296207359,0.49184125987427085,-1.5221220244705054,-1.745993612645268,-1.6047225923686392,4.850373999
LINC01018,0.43732522755795383,0.4979189254733957,0.6146284851375717,0.6119608380595337,0.7324336855659429,0.6579301136007292,0.7676847362400205,0.5586078964987673,-1.5730231377627155,-1.6666670775128531,-1.6387996928583455,4.847434984
OR8U9,0.6087955860433871,0.5394002905860182,0.6618964060480593,0.5906799633342126,0.6025653454291205,0.6160322501414969,0.8033707929197116,0.46094718377406174,-1.6452910907199054,-1.632586192359582,-1.6058105351965766,4.789274731
MEOX2,0.5346777946698559,0.590373811407462,0.5390888804166984,0.5701603745235787,0.6398652240176402,0.7197010286885175,0.7314800818366788,0.5628408805920045,-1.6741709693880873,-1.644607000190293,-1.5694101065740629,4.681493984
TNFSF14,0.6883869912199188,0.7804035871366509,0.6631856121799274,0.6526971769725325,0.4689553305614961,0.39325407830071296,0.6336140518035211,0.5922915593892005,-1.6165340492319231,-1.5586922713659541,-1.6975620669660922,4.665291535
